,QPS
Sat Feb 01 07:57:18 +0000 2020,32
Sat Feb 01 07:57:19 +0000 2020,43
Sat Feb 01 07:57:20 +0000 2020,40
Sat Feb 01 07:57:21 +0000 2020,30
Sat Feb 01 07:57:22 +0000 2020,28
Sat Feb 01 07:57:23 +0000 2020,51
Sat Feb 01 07:57:24 +0000 2020,31
Sat Feb 01 07:57:25 +0000 2020,37
Sat Feb 01 07:57:26 +0000 2020,49
Sat Feb 01 07:57:27 +0000 2020,39
Sat Feb 01 07:57:28 +0000 2020,50
Sat Feb 01 07:57:29 +0000 2020,39
Sat Feb 01 07:57:30 +0000 2020,38
Sat Feb 01 07:57:31 +0000 2020,41
Sat Feb 01 07:57:32 +0000 2020,42
Sat Feb 01 07:57:33 +0000 2020,37
Sat Feb 01 07:57:34 +0000 2020,33
Sat Feb 01 07:57:35 +0000 2020,31
Sat Feb 01 07:57:36 +0000 2020,39
Sat Feb 01 07:57:37 +0000 2020,31
Sat Feb 01 07:57:38 +0000 2020,28
Sat Feb 01 07:57:39 +0000 2020,41
Sat Feb 01 07:57:40 +0000 2020,44
Sat Feb 01 07:57:41 +0000 2020,44
Sat Feb 01 07:57:42 +0000 2020,37
Sat Feb 01 07:57:43 +0000 2020,29
Sat Feb 01 07:57:44 +0000 2020,33
Sat Feb 01 07:57:45 +0000 2020,51
Sat Feb 01 07:57:46 +0000 2020,39
Sat Feb 01 07:57:47 +0000 2020,33
Sat Feb 01 07:57:48 +0000 2020,34
Sat Feb 01 07:57:49 +0000 2020,35
Sat Feb 01 07:57:50 +0000 2020,43
Sat Feb 01 07:57:51 +0000 2020,44
Sat Feb 01 07:57:52 +0000 2020,41
Sat Feb 01 07:57:53 +0000 2020,36
Sat Feb 01 07:57:54 +0000 2020,29
Sat Feb 01 07:57:55 +0000 2020,41
Sat Feb 01 07:57:56 +0000 2020,31
Sat Feb 01 07:57:57 +0000 2020,46
Sat Feb 01 07:57:58 +0000 2020,36
Sat Feb 01 07:57:59 +0000 2020,43
Sat Feb 01 07:55:00 +0000 2020,38
Sat Feb 01 07:55:01 +0000 2020,34
Sat Feb 01 07:55:02 +0000 2020,39
Sat Feb 01 07:55:03 +0000 2020,38
Sat Feb 01 07:55:04 +0000 2020,27
Sat Feb 01 07:55:05 +0000 2020,32
Sat Feb 01 07:55:06 +0000 2020,29
Sat Feb 01 07:55:07 +0000 2020,41
Sat Feb 01 07:55:08 +0000 2020,38
Sat Feb 01 07:55:09 +0000 2020,37
Sat Feb 01 07:55:10 +0000 2020,38
Sat Feb 01 07:55:11 +0000 2020,43
Sat Feb 01 07:55:12 +0000 2020,38
Sat Feb 01 07:55:13 +0000 2020,33
Sat Feb 01 07:55:14 +0000 2020,48
Sat Feb 01 07:55:15 +0000 2020,41
Sat Feb 01 07:55:16 +0000 2020,28
Sat Feb 01 07:55:17 +0000 2020,45
Sat Feb 01 07:55:18 +0000 2020,36
Sat Feb 01 07:55:19 +0000 2020,38
Sat Feb 01 07:55:20 +0000 2020,32
Sat Feb 01 07:55:21 +0000 2020,42
Sat Feb 01 07:55:22 +0000 2020,38
Sat Feb 01 07:55:23 +0000 2020,36
Sat Feb 01 07:55:24 +0000 2020,40
Sat Feb 01 07:55:25 +0000 2020,42
Sat Feb 01 07:55:26 +0000 2020,26
Sat Feb 01 07:55:27 +0000 2020,41
Sat Feb 01 07:55:28 +0000 2020,35
Sat Feb 01 07:55:29 +0000 2020,29
Sat Feb 01 07:55:30 +0000 2020,35
Sat Feb 01 07:55:31 +0000 2020,32
Sat Feb 01 07:55:32 +0000 2020,53
Sat Feb 01 07:55:33 +0000 2020,44
Sat Feb 01 07:55:34 +0000 2020,36
Sat Feb 01 07:55:35 +0000 2020,37
Sat Feb 01 07:55:36 +0000 2020,40
Sat Feb 01 07:55:37 +0000 2020,32
Sat Feb 01 07:55:38 +0000 2020,29
Sat Feb 01 07:55:39 +0000 2020,39
Sat Feb 01 07:55:40 +0000 2020,40
Sat Feb 01 07:55:41 +0000 2020,41
Sat Feb 01 07:55:42 +0000 2020,36
Sat Feb 01 07:55:43 +0000 2020,36
Sat Feb 01 07:55:44 +0000 2020,42
Sat Feb 01 07:55:45 +0000 2020,46
Sat Feb 01 07:55:46 +0000 2020,33
Sat Feb 01 07:55:47 +0000 2020,45
Sat Feb 01 07:55:48 +0000 2020,31
Sat Feb 01 07:55:49 +0000 2020,49
Sat Feb 01 07:55:50 +0000 2020,38
Sat Feb 01 07:55:51 +0000 2020,29
Sat Feb 01 07:55:52 +0000 2020,28
Sat Feb 01 07:55:53 +0000 2020,32
Sat Feb 01 07:55:54 +0000 2020,38
Sat Feb 01 07:55:55 +0000 2020,33
Sat Feb 01 07:55:56 +0000 2020,30
Sat Feb 01 07:55:57 +0000 2020,49
Sat Feb 01 07:55:58 +0000 2020,37
Sat Feb 01 07:55:59 +0000 2020,33
Sat Feb 01 07:50:00 +0000 2020,43
Sat Feb 01 07:50:01 +0000 2020,36
Sat Feb 01 07:50:02 +0000 2020,38
Sat Feb 01 07:50:03 +0000 2020,34
Sat Feb 01 07:50:04 +0000 2020,37
Sat Feb 01 07:50:05 +0000 2020,44
Sat Feb 01 07:50:06 +0000 2020,34
Sat Feb 01 07:50:07 +0000 2020,42
Sat Feb 01 07:50:08 +0000 2020,38
Sat Feb 01 07:50:09 +0000 2020,37
Sat Feb 01 07:50:10 +0000 2020,31
Sat Feb 01 07:50:11 +0000 2020,45
Sat Feb 01 07:50:12 +0000 2020,41
Sat Feb 01 07:50:13 +0000 2020,34
Sat Feb 01 07:50:14 +0000 2020,41
Sat Feb 01 07:50:15 +0000 2020,35
Sat Feb 01 07:50:16 +0000 2020,41
Sat Feb 01 07:50:17 +0000 2020,36
Sat Feb 01 07:50:18 +0000 2020,31
Sat Feb 01 07:50:19 +0000 2020,35
Sat Feb 01 07:50:20 +0000 2020,33
Sat Feb 01 07:50:21 +0000 2020,35
Sat Feb 01 07:50:22 +0000 2020,48
Sat Feb 01 07:50:23 +0000 2020,39
Sat Feb 01 07:50:24 +0000 2020,28
Sat Feb 01 07:50:25 +0000 2020,39
Sat Feb 01 07:50:26 +0000 2020,36
Sat Feb 01 07:50:27 +0000 2020,34
Sat Feb 01 07:50:28 +0000 2020,41
Sat Feb 01 07:50:29 +0000 2020,38
Sat Feb 01 07:50:30 +0000 2020,34
Sat Feb 01 07:50:31 +0000 2020,34
Sat Feb 01 07:50:32 +0000 2020,49
Sat Feb 01 07:50:33 +0000 2020,38
Sat Feb 01 07:50:34 +0000 2020,41
Sat Feb 01 07:50:35 +0000 2020,43
Sat Feb 01 07:50:36 +0000 2020,29
Sat Feb 01 07:50:37 +0000 2020,45
Sat Feb 01 07:50:38 +0000 2020,38
Sat Feb 01 07:50:39 +0000 2020,42
Sat Feb 01 07:50:40 +0000 2020,50
Sat Feb 01 07:50:41 +0000 2020,24
Sat Feb 01 07:50:42 +0000 2020,47
Sat Feb 01 07:50:43 +0000 2020,40
Sat Feb 01 07:50:44 +0000 2020,39
Sat Feb 01 07:50:45 +0000 2020,38
Sat Feb 01 07:50:46 +0000 2020,37
Sat Feb 01 07:50:47 +0000 2020,42
Sat Feb 01 07:50:48 +0000 2020,36
Sat Feb 01 07:50:49 +0000 2020,38
Sat Feb 01 07:50:50 +0000 2020,45
Sat Feb 01 07:50:51 +0000 2020,43
Sat Feb 01 07:50:52 +0000 2020,38
Sat Feb 01 07:50:53 +0000 2020,46
Sat Feb 01 07:50:54 +0000 2020,38
Sat Feb 01 07:50:55 +0000 2020,29
Sat Feb 01 07:50:56 +0000 2020,46
Sat Feb 01 07:50:57 +0000 2020,38
Sat Feb 01 07:50:58 +0000 2020,41
Sat Feb 01 07:50:59 +0000 2020,44
Sat Feb 01 07:39:00 +0000 2020,39
Sat Feb 01 07:39:01 +0000 2020,43
Sat Feb 01 07:39:02 +0000 2020,32
Sat Feb 01 07:39:03 +0000 2020,37
Sat Feb 01 07:39:04 +0000 2020,40
Sat Feb 01 07:39:05 +0000 2020,38
Sat Feb 01 07:39:06 +0000 2020,28
Sat Feb 01 07:39:07 +0000 2020,31
Sat Feb 01 07:39:08 +0000 2020,35
Sat Feb 01 07:39:09 +0000 2020,29
Sat Feb 01 07:39:10 +0000 2020,35
Sat Feb 01 07:39:11 +0000 2020,36
Sat Feb 01 07:39:12 +0000 2020,33
Sat Feb 01 07:39:13 +0000 2020,50
Sat Feb 01 07:39:14 +0000 2020,40
Sat Feb 01 07:39:15 +0000 2020,41
Sat Feb 01 07:39:16 +0000 2020,28
Sat Feb 01 07:39:17 +0000 2020,29
Sat Feb 01 07:39:18 +0000 2020,31
Sat Feb 01 07:39:19 +0000 2020,48
Sat Feb 01 07:39:20 +0000 2020,31
Sat Feb 01 07:39:21 +0000 2020,38
Sat Feb 01 07:39:22 +0000 2020,37
Sat Feb 01 07:39:23 +0000 2020,28
Sat Feb 01 07:39:24 +0000 2020,32
Sat Feb 01 07:39:25 +0000 2020,30
Sat Feb 01 07:39:26 +0000 2020,28
Sat Feb 01 07:39:27 +0000 2020,43
Sat Feb 01 07:39:28 +0000 2020,34
Sat Feb 01 07:39:29 +0000 2020,36
Sat Feb 01 07:39:30 +0000 2020,28
Sat Feb 01 07:39:31 +0000 2020,35
Sat Feb 01 07:39:32 +0000 2020,36
Sat Feb 01 07:39:33 +0000 2020,42
Sat Feb 01 07:39:34 +0000 2020,47
Sat Feb 01 07:39:35 +0000 2020,32
Sat Feb 01 07:39:36 +0000 2020,44
Sat Feb 01 07:39:37 +0000 2020,36
Sat Feb 01 07:39:38 +0000 2020,36
Sat Feb 01 07:39:39 +0000 2020,37
Sat Feb 01 07:39:40 +0000 2020,36
Sat Feb 01 07:39:41 +0000 2020,38
Sat Feb 01 07:39:42 +0000 2020,44
Sat Feb 01 07:39:43 +0000 2020,30
Sat Feb 01 07:39:44 +0000 2020,42
Sat Feb 01 07:39:45 +0000 2020,45
Sat Feb 01 07:39:46 +0000 2020,35
Sat Feb 01 07:39:47 +0000 2020,40
Sat Feb 01 07:39:48 +0000 2020,36
Sat Feb 01 07:39:49 +0000 2020,30
Sat Feb 01 07:39:50 +0000 2020,37
Sat Feb 01 07:39:51 +0000 2020,40
Sat Feb 01 07:39:52 +0000 2020,37
Sat Feb 01 07:39:53 +0000 2020,42
Sat Feb 01 07:39:54 +0000 2020,40
Sat Feb 01 07:39:55 +0000 2020,32
Sat Feb 01 07:39:56 +0000 2020,31
Sat Feb 01 07:39:57 +0000 2020,43
Sat Feb 01 07:39:58 +0000 2020,28
Sat Feb 01 07:39:59 +0000 2020,42
Sat Feb 01 07:58:00 +0000 2020,31
Sat Feb 01 07:58:01 +0000 2020,36
Sat Feb 01 07:58:02 +0000 2020,40
Sat Feb 01 07:58:03 +0000 2020,26
Sat Feb 01 07:58:04 +0000 2020,52
Sat Feb 01 07:58:05 +0000 2020,33
Sat Feb 01 07:58:06 +0000 2020,45
Sat Feb 01 07:58:07 +0000 2020,34
Sat Feb 01 07:58:08 +0000 2020,46
Sat Feb 01 07:58:09 +0000 2020,34
Sat Feb 01 07:58:10 +0000 2020,40
Sat Feb 01 07:58:11 +0000 2020,38
Sat Feb 01 07:58:12 +0000 2020,40
Sat Feb 01 07:58:13 +0000 2020,32
Sat Feb 01 07:58:14 +0000 2020,47
Sat Feb 01 07:58:15 +0000 2020,34
Sat Feb 01 07:58:16 +0000 2020,38
Sat Feb 01 07:58:17 +0000 2020,49
Sat Feb 01 07:58:18 +0000 2020,35
Sat Feb 01 07:58:19 +0000 2020,37
Sat Feb 01 07:58:20 +0000 2020,34
Sat Feb 01 07:58:21 +0000 2020,45
Sat Feb 01 07:58:22 +0000 2020,29
Sat Feb 01 07:58:23 +0000 2020,36
Sat Feb 01 07:58:24 +0000 2020,32
Sat Feb 01 07:58:25 +0000 2020,35
Sat Feb 01 07:58:26 +0000 2020,31
Sat Feb 01 07:58:27 +0000 2020,35
Sat Feb 01 07:58:28 +0000 2020,41
Sat Feb 01 07:58:29 +0000 2020,35
Sat Feb 01 07:58:30 +0000 2020,35
Sat Feb 01 07:58:31 +0000 2020,43
Sat Feb 01 07:58:32 +0000 2020,39
Sat Feb 01 07:58:33 +0000 2020,37
Sat Feb 01 07:58:34 +0000 2020,30
Sat Feb 01 07:58:35 +0000 2020,47
Sat Feb 01 07:58:36 +0000 2020,40
Sat Feb 01 07:58:37 +0000 2020,38
Sat Feb 01 07:58:38 +0000 2020,28
Sat Feb 01 07:58:39 +0000 2020,31
Sat Feb 01 07:58:40 +0000 2020,29
Sat Feb 01 07:58:41 +0000 2020,30
Sat Feb 01 07:58:42 +0000 2020,32
Sat Feb 01 07:58:43 +0000 2020,30
Sat Feb 01 07:58:44 +0000 2020,35
Sat Feb 01 07:58:45 +0000 2020,32
Sat Feb 01 07:58:46 +0000 2020,42
Sat Feb 01 07:58:47 +0000 2020,23
Sat Feb 01 07:58:48 +0000 2020,40
Sat Feb 01 07:58:49 +0000 2020,33
Sat Feb 01 07:58:50 +0000 2020,34
Sat Feb 01 07:58:51 +0000 2020,47
Sat Feb 01 07:58:52 +0000 2020,31
Sat Feb 01 07:58:53 +0000 2020,42
Sat Feb 01 07:58:54 +0000 2020,41
Sat Feb 01 07:58:55 +0000 2020,34
Sat Feb 01 07:58:56 +0000 2020,40
Sat Feb 01 07:58:57 +0000 2020,34
Sat Feb 01 07:58:58 +0000 2020,27
Sat Feb 01 07:58:59 +0000 2020,28
Sat Feb 01 07:59:00 +0000 2020,29
Sat Feb 01 07:59:01 +0000 2020,31
Sat Feb 01 07:59:02 +0000 2020,36
Sat Feb 01 07:59:03 +0000 2020,45
Sat Feb 01 07:59:04 +0000 2020,39
Sat Feb 01 07:59:05 +0000 2020,33
Sat Feb 01 07:59:06 +0000 2020,40
Sat Feb 01 07:59:07 +0000 2020,43
Sat Feb 01 07:59:08 +0000 2020,32
Sat Feb 01 07:59:09 +0000 2020,31
Sat Feb 01 07:59:10 +0000 2020,39
Sat Feb 01 07:59:11 +0000 2020,44
Sat Feb 01 07:59:12 +0000 2020,28
Sat Feb 01 07:59:13 +0000 2020,36
Sat Feb 01 07:59:14 +0000 2020,43
Sat Feb 01 07:59:15 +0000 2020,37
Sat Feb 01 07:59:16 +0000 2020,31
Sat Feb 01 07:59:17 +0000 2020,30
Sat Feb 01 07:59:18 +0000 2020,38
Sat Feb 01 07:59:19 +0000 2020,30
Sat Feb 01 07:59:20 +0000 2020,35
Sat Feb 01 07:59:21 +0000 2020,39
Sat Feb 01 07:59:22 +0000 2020,30
Sat Feb 01 07:59:23 +0000 2020,38
Sat Feb 01 07:59:24 +0000 2020,39
Sat Feb 01 07:59:25 +0000 2020,41
Sat Feb 01 07:59:26 +0000 2020,33
Sat Feb 01 07:59:27 +0000 2020,33
Sat Feb 01 07:59:28 +0000 2020,42
Sat Feb 01 07:59:29 +0000 2020,37
Sat Feb 01 07:59:30 +0000 2020,28
Sat Feb 01 07:59:31 +0000 2020,31
Sat Feb 01 07:59:32 +0000 2020,39
Sat Feb 01 07:59:33 +0000 2020,35
Sat Feb 01 07:59:34 +0000 2020,36
Sat Feb 01 07:59:35 +0000 2020,32
Sat Feb 01 07:59:36 +0000 2020,36
Sat Feb 01 07:59:37 +0000 2020,32
Sat Feb 01 07:59:38 +0000 2020,43
Sat Feb 01 07:59:39 +0000 2020,31
Sat Feb 01 07:59:40 +0000 2020,36
Sat Feb 01 07:59:41 +0000 2020,37
